title,category,seniority,experience_years_min,experience_years_max,salary_min_tnd,salary_avg_tnd,salary_max_tnd,currency,period,education,top_skills,region,source
Frontend Developer,Tech,Junior,0,2,1250,1450,1700,TND,mensuel_brut,Licence,"React, Angular, TypeScript, HTML, CSS",Tunisie,estimation_marche_TN_reference
Frontend Developer,Tech,Mid,2,4,1950,2300,2700,TND,mensuel_brut,Ingénieur/Master,"React, Angular, TypeScript, HTML, CSS",Tunisie,estimation_marche_TN_reference
Frontend Developer,Tech,Senior,5,8,2900,3400,4000,TND,mensuel_brut,Ingénieur/Master,"React, Angular, TypeScript, HTML, CSS",Tunisie,estimation_marche_TN_reference
Frontend Developer,Tech,Lead,8,15,3800,4500,5300,TND,mensuel_brut,Master,"React, Angular, TypeScript, HTML, CSS",Tunisie,estimation_marche_TN_reference
Backend Developer,Tech,Junior,0,2,1300,1550,1850,TND,mensuel_brut,Licence,"Node, NestJS, FastAPI, SQL, REST",Tunisie,estimation_marche_TN_reference
Backend Developer,Tech,Mid,2,4,2100,2500,2950,TND,mensuel_brut,Ingénieur/Master,"Node, NestJS, FastAPI, SQL, REST",Tunisie,estimation_marche_TN_reference
Backend Developer,Tech,Senior,5,8,3150,3700,4350,TND,mensuel_brut,Ingénieur/Master,"Node, NestJS, FastAPI, SQL, REST",Tunisie,estimation_marche_TN_reference
Backend Developer,Tech,Lead,8,15,4150,4900,5800,TND,mensuel_brut,Master,"Node, NestJS, FastAPI, SQL, REST",Tunisie,estimation_marche_TN_reference
Full Stack Developer,Tech,Junior,0,2,1350,1600,1900,TND,mensuel_brut,Licence,"React, Angular, Node, NestJS, FastAPI, SQL",Tunisie,estimation_marche_TN_reference
Full Stack Developer,Tech,Mid,2,4,2200,2600,3050,TND,mensuel_brut,Ingénieur/Master,"React, Angular, Node, NestJS, FastAPI, SQL",Tunisie,estimation_marche_TN_reference
Full Stack Developer,Tech,Senior,5,8,3250,3850,4550,TND,mensuel_brut,Ingénieur/Master,"React, Angular, Node, NestJS, FastAPI, SQL",Tunisie,estimation_marche_TN_reference
